ASJP_NAME,AUTHOR,YEAR,TITLE_ETC,LIST_MADE_BY
BAURE,"Key, Mary Ritchie",2015,"Baure dictionary. In: Key, Mary Ritchie & Comrie, Bernard (eds.), The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/contributions/261.)",VV/SW
BAURO,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=581 (accessed 09-19-09),SW
BAUWAKI,SIL,1973,"Summer Institute of Linguistics Language Survey of Bauwake and Morawa, 1973.",SW/MSD
BAUWAKI_2,"Ray, Sidney H.",1938,The Languages of the Eastern and South-Eastern Division of Papua. Journal of the Royal Anthropological Institute of Great Britain and Ireland 68. 153-208.,MSD
BAUZI,"Briley, David",1996,"Four grammatical systems in Bauzi. In Franklin, Karl (ed.), Papers in Papuan Linguistics 2. Canberra: Australian National University.",JB
BAUZI_2,"Clouse, D. A.",1997,"Towards a reconstruction and reclassification of the Lakes Plain languages of Irian Jaya. In Franklin, K. (ed). Papers in Papuan Linguistics No. 2. Pacific Linguistics: Canberra.",SW/MSD
BAVARIAN_GERMAN,"Schikowski, Robert",2009,Die Phonologie des Westmittelbairischen. München: Ludwigs-Maximilians Universität MA thesis.,TVV
BAWM,"Kim, Amy, Palash Roy, and Mridul Sangma",2011,"The Kuki-Chin Communities of Bangladesh: A Sociolinguistic Survey (SIL Electronic Survey Reports 2011-025). SIL International.; Reichle, Verena. (1981) Bawm Language and Lore: Tibeto-Burman Area (Europäische Hochschulschriften: Reihe XXI: Linguistik 14). Frankfurt am Main: Peter Lang.",MSD
BAYALI,"Holmer, Nils M.",1983,"Linguistic survey of South-Eastern Queensland, 469-478. Canberra: Australian National University.",
BAYGO,"Santandrea, Stefano",1948,Little known Tribes of the Bahr El Ghazal. Sudan Notes and Records XXIX. 78-106. ,TVV
BAYNUNK_DJIBELOR,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_DJIBELOR_2,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_DJIBELOR_3,"Tastevin, [Révérend] [Père] Constant F.",1936,Vocabulaires inédits de 7 dialectes sénégalais dont 6 de Casamance. Journal de la Société des Africanistes.,SW/GS
BAYNUNK_GUBHER,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_GUBHER_2,"Cobbinah, Alexander Yao",2013,Lexique gubaher. London.,SW/GS
BAYNUNK_GUJAXER,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_GUJAXER_2,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
BAYNUNK_GUJAXER_3,"Wilson, William André Auquier",2008,"Guthrie’s wordlist for Atlantic languages, 1958-59. RefLex.",SW/GS
BAYNUNK_GUJAXER_4,"Wilson, William André Auquier",2007,Guinea Languages of the Atlantic Group. Frankfurt: Peter Lang.,SW/GS
BAYNUNK_GUJAXER_5,"Doneux, Jean-Léonce",sd,Lexique comparatif buy et jaaxet. RefLex.,SW/GS
BAYNUNK_GUJAXER_6,"Goudiaby, Arame",2016,"Eléments de grammaire du gu?ja?a?ha?r, parler baïnounck de Niaguis (Casamance). Dakar: Université Cheikh Anta Diop.",SW/GS
BAYNUNK_GUNYAAMOLO,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_GUNYAAMOLO_2,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_GUNYAAMOLO_3,"Bao Diop, Sokhna",2013,"Description du baynunk guñaamolo, langue minoritaire du sénégal: analyse phonologique, morphologique et syntaxique. Dakar, Paris: UCAD, INALCO.",SW/GS
BAYNUNK_GUNYAAMOLO_4,"Bodian, Lamine",2014,"Morphosyntaxe du guñaamolo, parler de baïnounk de Niamone. Dakar: Université Cheikh Anta Diop.",SW/GS
BAYNUNK_GUNYAAMOLO_5,Anonymous,1996,Lexique bainouke / français. Dakar: Mission évangélique (New Tribes Mission).,SW/GS
BAYNUNK_GUNYAAMOLO_6,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYNUNK_SONKODOU,Anonymous,1845,"Vocabulaires guiolof, manding, foule, saracole, séraire, bagnon et floupe, recueillis à la côte d?Afrique pour le service de l?ancienne Compagnie Royale du Sénégal. Mémoires de la Société Ethnologique, t 2. Paris: Librairie Orientale de Mme Ve Dondey-Dupré.",SW/GS
BAYNUNK_TOBOR,"Bühnen, Stefan",1988,Lexique comparatif des dialectes Ba?un et de Kasanga et Cobiana. Bremen.,SW/GS
BAYONO,"Wilbrink, Ans",2004,"Appendices. In: Wilbrink, Ans, The Kopkaka of Papua. Provisional notes on their language, its language affiliation and on the Kopkaka culture, 97-219. Vrije Universiteit Amsterdam.",MSD
BAYONO_2,"Wilbrink, Ans",2004,"Appendices. In: Wilbrink, Ans, The Kopkaka of Papua. Provisional notes on their language, its language affiliation and on the Kopkaka culture, 97-219. Vrije Universiteit Amsterdam.",MSD
BAYOT,"Tastevin, Constant",1936,Vocabulaires inédits de sept dialectes Sénégalais. Journal de la Société des Africanistes 6. 1-33.,JB
BAYOT_2,"Kennedy, Alistair M.",1961,Dialectes de diola: listes de mots. RefLex.,SW/GS
BAYOT_3,"Diagne, Mbacké",2009,"Le Bayot: Langue Atlantique Nord, groupe bak, sous groupe jóola. Paris: INALCO.",SW/GS
BAYOT_4,"Carlton, Elizabeth M. and Sharon R. Rand",1994,"Compilation de listes de mots Swadesh modifiées recueillis parmi les langues du groupe Diola, sud du Sénégal. Journal of West African languages.",SW/GS
BAYOT_5,"Barry, Abdoulaye",1987,"The Joola languages: subgrouping and reconstruction. School of Oriental and African Studies (SOAS), University of London.",SW/GS
BAYOT_6,"Carlton, Elizabeth M. and Sharon R. Rand",1994,"Compilation de listes de mots Swadesh modifiées recueillis parmi les langues du groupe Diola, sud du Sénégal. Journal of West African languages.",SW/GS
BAYOT_7,"Barry, Abdoulaye",1987,"The Joola languages: subgrouping and reconstruction. School of Oriental and African Studies (SOAS), University of London.",SW/GS
BAYOT_8,"Barry, Abdoulaye",1987,"The Joola languages: subgrouping and reconstruction. School of Oriental and African Studies (SOAS), University of London.",SW/GS
BAZZA,"Kraft, Charles H.",1981,"Chadic wordlists II (""Biu-Mandara""), p. 137 ff. Berlin: Verlag von Dietrich Reimer.",AM
BEAMI,The Rosetta Project,n.d.,[Data supplied by Timothy Usher.],SW
BEAVER,"Hoijer, Harry",1956,The chronology of the Athapaskan languages. International Journal of American Linguistics 22. 219-232.,OB
BEBA,"Brye, Elizabeth",2005,Rapid appraisal sociolinguistic survey of Beba. SIL Electronic Survey Reports 2005-019. 1-19. ,TVV
BEDAMINI,"Shaw, R. Daniel",1986,The Bosavi language family. Papers in New Guinea linguistics 24. 45-76. Pacific Linguistics A-70. Canberra: Australian National University.,MD/OB
BEDIK,"Ferry, Marie-Paule",1991,Thesaurus Tenda (SELAF 325). Paris: Peeters. Langues et Cultures Africaines 14.,TVV
BEDJA_BEDAWI,"Roper, E. M.",1928,Tu Bedawie: an elementary handbook for the use of Sudan government officials. Hertford UK: Stephen Austin &amp; Sons.,SW/GS
BEELE,"Schuh, Russell G.",1978,"Bole-Tangale languages of the Bauchi area (Northern Nigeria). (Marburger Studien zur Afrika- und Asienkunde: Serie A: Afrika, 13.) Berlin: Dietrich Reimer.",JB
BEEMBE,"Jacquot, André",1981,"Études beembe (Congo): Esquisse linguistique, devinettes et proverbes. Travaux et documents de l'ORSTOM 133. Paris: O.R.S.T.O.M.",JB
BEEZEN,"Akumbu, Pius and Elizabeth Brye",2005,"A rapid appraisal language survey of Akum. SIL Electronic Survey Reports 2005-005. 16.; Kempf, Viktoria. 2013. Remnants of a noun class system in Bezen (Southern-Jukunoid). Afrikanistik online 2014. 1-21.; Prischnegg, Tamara. 2008. Das Yukuben und seine Bedeutung für die Legitimierung eines Südjukunoid. Doctoral dissertation, Universität Wien.",MSD
BEGBERE_EJAR,"Blench, Roger",2009,"The Tinor [= Koro Waci] language of Central Nigeria and its affinities. Draft Manuscript May 20, 2009.",
BEGBERE_EJAR_2,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
BEJA,"Bender, M. Lionel",1971,The languages of Ethiopia: A new lexicostatistic classification and some problems of diffusion. Anthropological Linguistics 13. 165-288.,AM
BEJA_2,"Militarev, Alexander",2000,"Towards the chronology of Afrasian (Afroasiatic) and its daughter families. Time Depth in Historical Linguistics, vol.1 ed. by Colin Renfrew, April McMahon, and Larry Trask, 267-307. Cambridge: McDonald Institute for Archaeological Research.",JB
BEJOND,"Boyeldieu, Pascal",2000,Identité tonale et filiation des langues sara-bongo-baguirmiennes (Afrique Centrale). Köln: Rüdiger Köppe Verlag.,SW/VV
BEKATI,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
BEKWARRA,"Standford, R.",1977,"Bekwarra. In Kropp Dakubu, M. E. (ed.), West African language data sheets, vol. 1. Legon, Ghana: West African Linguistic Society.",VV
BEKWEL,"Van der Veen, Lolke",2011,Projet ALGAB (Atlas Linguistique du Gabon). RefLex.,SW/GS
BEKWEL_2,,,,SW/GS
BEKWEL_3,"Van der Veen, Lolke",2011,Projet ALGAB (Atlas Linguistique du Gabon). RefLex.,SW/GS
BEKWEL_4,"Van der Veen, Lolke",2011,Projet ALGAB (Atlas Linguistique du Gabon). RefLex.,SW/GS
BEKWIL,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BELAIT,,,,AM
BELALAU_LAMPUNG_API,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=603 (accessed October 2009),SS
BELANDA_BOR,"Stirtz, Tim et al.",2014,Belanda Bor-English Dictionary. Juba (South Sudan): South Sudan Workshop Program.,SW/GS
BELANDA_VIRI,"Santandrea, P. Stefano",1961,Comparative outline-grammar of Ndogo-Sere-Tagbu-Bai-Bviri. Bologna: Editrice Nigrizia.,JB
BELARUSIAN,,,Wiktionary,
BELARUSIAN_2,"Knauf, Holger",2001,Weißrussisch (Belarus) - Wort für Wort. Bielefeld: REISE KNOW-HOW Verlag Peter Rump. (1st ed.).; Skarnik. n.d. ??????-??????????? ???????. Online dictionary. (http://www.skarnik.by/).; http://northeuralex.org/languages/bel (accessed 2020-01-27).,SW
BELHARE,"Bickel, Balthasar",2003,"Belhare. In Graham Thurgood & Randy J. LaPolla (eds.), The Sino-Tibetan Languages (Routledge Language Family Series), 546-570. London & New York: Routledge.",TVV
BELI,"Laycock, Donald C.",1968,Languages of the Lumi Subdistrict.  Oceanic Linguistics 7(1). 36-66.,JB
BELIZE_KRIOL_ENGLISH,"Greene, Laurie Ann",1994,A grammar of Belizean Creole: compilations from two existing United States dialects. University of New Orleans. Ann Arbor: UMI.,JB
BELLA_COOLA,"Key, Mary Ritchie",2015,"Bella Coola dictionary. In: Key, Mary Ritchie and Comrie, Bernard (eds.), The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/contributions/231.); Nater, Hank F. 1990. A concise Nuxalk-English dictionary (= Canadian Ethnology Service Mercury Paper, 115). Hull, Quebec: Canadian Museum of Civilization.",AM/CB/DB/PB
BEMAL,"Z'graggen, Johannes A.",1980,"A Comparative Word list of the Mabuso Languages, Madang Province, Papua New Guinea. Pacific Linguistics D-32. Canberra: Australian National University.",CB
BEMBA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BEMBA_1,"Lisimba, Mukumbuta",2005[1982],"A Luyana dialectology. Ph.D. dissertation, Madison University. Ann Arbor: UMI",AKW/AM
BEMBA_2,"Kasond, Makasae and Alexander Raymond",2002,A classified vocabulary of the Icibemba language. München: Lincom Europa.,SW/VV/AM
BEMBE,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BEMBE_2,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BEMBE_3,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BEMBE_BMB,"Verhulpen, Edmond",1936,"Comparaison des langues Luba avec des langues voisines. Baluba et balubaïse?s du Katanga, 423-443. Anvers: L'Avenir belge.",TVV
BEMBE_BMB_2,"Iorio, David",2015,"Subject and object marking in Bembe. Doctoral dissertation, University of Newcastle Upon Tyne.; Iorio, David. 2011. The noun phrase in Kibembe (D54). Newcastle Working Papers in Linguistics 17. 46-65.",MSD
BEN_TEY_DOGON,"Heath, Jeffrey",2015,"A Grammar of Ben Tey (Dogon of Beni). Draft Ms., July 2015.; https://dogonlanguages.org/values.",MSD
BENA,"Nurse, Derek and Gérard Philippson",1975/99,The Tanzanian Language Survey. http://www.cbold.ish-lyon.cnrs.fr/.,SW/GS
BENA_2,"Mitterhofer, Bernadette",2013,"Lessons from a Dialect Survey of Bena: Analysing Wordlists. SIL Electronic Survey Reports 2013-020. 1-131.; Morrison, Michelle Elizabeth. (2011) A reference grammar of Bena. Doctoral dissertation, University of Texas at Austin.",MSD
BENABENA,"Mainai, Felope, Robert Young and Rosemary Young",1971,"Bena-bena ka--Pisini ka--Igilisi ka Bena-bena--Pidgin--English. Ukarumpa, Papua New Guinea: Summer Institute of Linguistics.",CB
BENABENA_2,Scott,1978,The Fore language of Papua New Guinea. Canberra: Pacific Linguistics.,SW/MSD
BENARAF,"Lee, Sang-Kem and Theresia Wambaliau",2004,"Kwanem languages survey report in Northeastern Papua, Indonesia. To appear in the SIL Electronic Survey Reports. 88pp.",MSD
BENCHO,"Bender, M. Lionel",1971,The languages of Ethiopia: A new lexicostatistic classification and some problems of diffusion. Anthropological Linguistics 13. 165-288.,AM
BENDE,,,http://homepage2.nifty.com/abende/dic/Bende_lex/index-english/main.htm (accessed March 2009),AM
BENDE_2,"Nurse, Derek and Gérard Philippson",1975/99,The Tanzanian Language Survey. http://www.cbold.ish-lyon.cnrs.fr/.,SW/GS
BENDEGHE,"Piron, Pascale",1997,Classification interne du groupe bantoïde I. München: Lincom Europa.,VV
BENDEGHE_2,"Crabb, David Wendell",1965,"Ekoid Bantu languages of Ogoja, eastern Nigeria. Part 1: introduction, phonology and comparative vocabulary. London: Cambridge University Press in association with the West African Linguistic Society (WALS) and the Institute of African Studies, University of Ibadan.",SW/GS
BENDI,"Liesenborghs, Oswald",1934,Over Taal en Oorsprong der Mabendi. Congo 15(II). 35-38.,MSD
BENE_BOMITABA,"Gardner, William L.",2006,Language use in the Epena district of Northern Congo. SIL Electronic Survey Reports. SIL International.,SS
BENERAF,"Voorhoeve, C. L.",1975,"Languages of Irian Jaya Checklist, Canberra: Pacific Linguistics.",SW/MSD
BENG,"Gottlieb, Alma and M. Lynne Murphy",1995,Beng-English dictionary. Indiana University Linguistics Club Publications.,CB
BENGA,"Van der Veen, Lolke",2011,Projet ALGAB (Atlas Linguistique du Gabon). RefLex.,SW/GS
BENGA_2,"Good, A. I.",1879,"Dictionary of the English and Benga languages. New York: Mission House.; Mackey, James Love. 1855. A grammar of the Benga language. New York: Mission House.",MSD
BENGALI,,,Wiktionary,AM
BENGALI_2,"Biswas, Sailendra",1976,Samsad Bengali-English Dictionary. Calcutta: Sahitya Samsad. (Revised by Subodhchandra Sengupta).; http://northeuralex.org/languages/ben (accessed 2020-01-27).,SW
BENGE_BATI,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
BENGNI,,,,AM
BENI_SNOUS_WESTERN_ALGERIAN_BERBER,"Destaing, Edmond",1914,Dictionnaire français-berbère (dialecte des Beni-Snous). Paris: Leroux.,
BEOTHUK,"Hewson, John",1978,"Beothuk vocabularies: A comparative study. Technical Papers of the Newfoundland Museum, 2.",PB
BEPOUR,"Z'graggen, Johannes A.",1980,"A Comparative Word List of the Northern Adelbert Range Languages, Madang Province, Papua New Guinea. Pacific Linguistics D-31. Canberra: Australian National University.",CB
BERBICE_DUTCH_CREOLE,"Kouwenberg, Silvia",1994,A grammar of Berbice Dutch Creole. Berlin/New York: Mouton de Gruyter.,VV/SW
BERIA,"Jakobi, Angelika and Joachim Crass",2004,Grammaire descriptive du beria (langue saharienne). Köln: Köppe-Verlag.,AM
BERIK_2,,,http://www.papuaweb.org/dlib/irian/index.html,JB
BERIK_3,"Westrum, Peter N., Susan Westrum, Deetje Songkilawan, and Paulus Sowenso",1986,"Ol unggwanfer Berik olem = Perbendaharaan kata bahasa Berik = Berik vocabulary (Publikasi khusus bahasa-bahasa daerah, seri B 1). Universitas Cenderawasih / SIL.",MSD
BERINOMO,SIL,n.d.,Summer Institute of Linguistics Language Survey of Berinomo.,SW/MSD
BERNESE_GERMAN,"Wälchli, Bernhard",n.d.,[Data supplied by Bernhard Wälchli.],VV
BEROM_F,"Blench, Roger",2006,"Comparative Beromic. pdf MS fr January 3, 2006",VV
BEROM_R,"Blench, Roger",2006,Comparative Beromic. ( http://www.rogerblench.info/Linguistics%20papers%20opening%20page.htm Accessed: 10 Nov 2009.),
BERTA,"Neudorf, Suzanne et al.",2006,Bertha English - Amharic - Arabic Dictionary. Addis Ababa: SIL Ethiopia.,SW/GS
BERTI,"Petrá??ek, K.",1987,Berti or Sagato-a (Saharan) Vocabulary.  Afrika und Übersee 70. 163-193.,JB
BESEMAH,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=650 (accessed November 2009),SS
BESME,"Roberts, James",1999,"Goundo: langue tchadienne en voie d'extinction. In Travaux de linguistique Tchadienne volume 4, 1-13. N'Djamena: Université de N'Djamena.",JB
BETAF,"Lee, Sang-Kem and Theresia Wambaliau",2004,"Kwanem languages survey report in Northeastern Papua, Indonesia. To appear in the SIL Electronic Survey Reports. 88pp.",MSD
BETAWI,Muhadjir,1981,"Morphology of Jakarta dialect, affixation and reduplication. NUSA 1. Jakarta: Universitas Katolik Indonesia Atma Jaya.; Ikranagara, Kay. 1980. Melayu Betawi grammar. NUSA 9. Jakarta: Universitas Atma Jaya.",
BETE,"Prischnegg, Tamara",2010,Zur Klassifikation 'Südjukunoider' Sprachen: lexikalische Evidenz. Afrika und Übersee 91. 87-118.,TVV
BETE_DALOA,"Zogbo, Raymond Gnoléba",2004,Parlons bété. Paris [u.a.]: L'Harmattan.,
BETE_DALOA_2,"Marchese, Lynell",1983,"Atlas linguistique kru: essai de typologie. Abidjan: Institut de Linguistique Appliquée (ILA), Université d’Abidjan, ACCT.",SW/GS
BETE_GUIBEROUA,"Marchese, Lynell",1983,Atlas linguistique des langues kru: essay de typologie. 440. Abidjan: Agence de Coopération Culturelle et Technique (ACCT).,JB
BETTA_KURUMBA,"Coelho, Gail Maria",2003,"A grammar of Betta Kurumba. Austin, TX: University of Texas.",
BETTA_KURUMBA_2,"Kolipakam, Vishnupriya, Dunn, Michael, Jordan, Fiona M., and Verkerk, Annemarie",2018,DravLex: A Dravidian lexical database. (Version v1.0.0) [Data set]. Zenodo. http://doi.org/10.5281/zenodo.1181715. Accessed 2018-03-21,SW
BEZHTA,"Khalilova, Zaira",n.d.,[Data supplied by Zaira Khalilova.],AM
BEZHTA_2,"Comrie, Bernard and Madzhid Khalilov",2009,"Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.), World loanword database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15.)",SW
BHADRAWAHI,"Bailey, T. Grahame",1908,"The Languages of the Northern Himalayas, being studies in the grammar of twenty-six Himalayan dialects (Asiatic Society Monographs XII). London: The Royal Asiatic Society.",JB
BHATRI,"Mahapatra, B. P",2002,"Orissa (Special studies / Linguistic Survey of India). Kolkata: Language Division, Office of the Registrar General.",TVV
BHATTIYALI,"Bailey, Thomas Grahame",1908,"The Languages of the Northern Himalayas, being studies in the grammar of twenty-six Himalayan dialects (Asiatic Society Monographs XII). London: The Royal Asiatic Society.",JB
BHOIPURI,"Tiwari, Udai Narain",2001,The origin and development of Bhojpuri. Kolkata: Asiatic Society.,JB
BHOJPURI,"Tiwari, Udai Narain",2001,The origin and development of Bhojpuri. Kolkata: Asiatic Society.,JB
BIAFADA,"Wilson, William A. A.",2007,Guinea languages of the Atlantic group. Description and internal classification. Frankfurt am Main: Peter Lang.,VV/SW
BIAFADA_2,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
BIAK,"Anceaux, J. C.",1961,"The linguistic situation in the islands of Yapen, Kurudu, Nau and Miosnum, New Guinea (Verhandelingen van het koninklijk instituut voor taal-, land- en volkenkunde - deel 35). 'S-Gravenhage: Martinus Nijhoff.",AM
BIAK_2,"van den Heuvel, Wilco",,[Data elicited by Wilco van den Heuvel in 2001 and 2002.],SW
BIALI,"Sambiéni, Coffi",2005,Le Proto-Oti-Volta-Oriental.  Köln: Rüdiger Köppe Verlag.,JB
BIAMI,"Conrad, Robert and Ron Lewis",1988,Some language and sociolinguistic relationships in the upper Sepik region of Papua New Guinea. Papers in New Guinea linguistics 26. 243-273.,JB
BIANGAI,"Dubert, Raymond and Marjorie Dubert",1978,"Biangai lower levels of grammar. Ms.; Dubert, Raymond and Marjorie Dubert. 1973. Biangai phonemes. In Alan Healey (ed.), Phonologies of three languages of Papua New Guinea (Workpapers in Papua New Guinea Languages 2), 5-35. Ukarumpa: Summer Institute of Linguistics.",MSD
BIATAH_BIDAYUH,"Ray, Sidney H.",1913,The Languages of Borneo. Sarawak Museum Journal 1(4). 1-196.,JB
BIBLICAL_HEBREW,,,,
BIDAYUH_BAU,"Ray, Sidney H.",1913,The Languages of Borneo. Sarawak Museum Journal 1(4). 1-196.,JB
BIDIYA,"Alio, Khalil and Herrmann Jungraithmayr",1989,Lexique bidiya. Une langue centre-africaine (République du Tchad) - Avec une introduction grammaticale. Frankfurt a. M.: Vittorio Klostermann.,VV
BIDJARA,"Breen, John Gavan",1973,"Bidyara and Gungabula. Grammar and vocabulary, Melbourne: Monash University.",RM
BIEM,"Laycock, Donald C.",1976,"Austronesian languages: Sepik provinces. In: Wurm, Stephen A. (ed.), New Guinea area languages and language study Vol 2: Austronesian languages, 399-418. Canberra: Research School of Pacific and Asian Studies, Australian National University.",JB
BIEREBO_BONKOVIA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
BIEREBO_BURUPIKA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
BIEREBO_TAVIO,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
BIEREBO_YEVALI,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
BIERIA_VOVO,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
BIG_NAMBAS_LEVIAMP,"Tryon, Darrell T.",1979,"New Hebrides languages: An internal classification. Canberra: Research School of Pacific Studies, Australian National University.",
BIG_NAMBAS_UNMET,"Tryon, Darrell T.",1979,"New Hebrides languages: An internal classification. Canberra: Research School of Pacific Studies, Australian National University.",
BIGA,"Remijsen, A. C. L.",2002,"Wordlists of Raja Ampat languages. In Word-Prosodic Systems of Raja Ampat Languages, 139-154. Rijksuniversiteit te Leiden.",JB
BIGAMBAL,"Wafer, Jim and Amanda Lissarrague",2008,"A handbook of Aboriginal languages of New South Wales and the Australian Capital Territory. Nambucca Heads, NSW:  Muurrbay Aboriginal Language & Culture Co-operative.",JB
BIJOGO,"Segerer, Guillaume",2002,La langue Bijogo de Bubaque (Guinée Bissau). Louvain-Paris: Peeters.,SW
BIJOGO_KAJOKO,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
BIJOGO_KAJOKO_2,"Wilson, William André Auquier",2007,Guinea Languages of the Atlantic Group. Frankfurt: Peter Lang.,SW/GS
BIJOGO_KAJOKO_3,"Wilson, William André Auquier",2008,"Guthrie’s wordlist for Atlantic languages, 1958-59. RefLex.",SW/GS
BIJOGO_KAMONA,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
BIKARU,"Conrad, Robert J. and Ronald K. Lewis",1988,"Some language and sociolinguistic relationships in the Upper Sepik region of Papua New Guinea. In Geoffrey P. Smith... (ed.), Papers in New Guinea Linguistics 26, 243-273. Canberra: Research School of Pacific and Asian Studies, Australian National University.",MSD
BIKARU_2,SIL,1962,"Summer Institute of Linguistics Language Survey of Burui, 1962.",SW/MSD
BIKARU_3,SIL,1983,"Summer Institute of Linguistics Language Survey of Bikaru, 1983.",SW/MSD
BIKSI,"Conrad, Robert J. and T. Wayne Dye",1975,"Some language relationships in the Upper Sepik region of Papua New Guinea. In Papers in New Guinea Linguistics 18 (Pacific Linguistics: Series A 40), 1-35. Canberra: Research School of Pacific and Asian Studies, Australian National University.",AKW/MSD
BIKSI_3,"Laycock, Donald C.",n.d.,Notebook D15: Selected Research Papers of Don Laycock on Languages in Papua New Guinea. Don Laycock (compiler); Don Laycock (researcher). n.d. Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC). paradisec.org.au/repository/DL2/items/026.,MSD
BIKSI_4,"Whitehouse, Paul",n.d.,Type-up of anonymous Kehu wordlist from SIL Indonesia. Ms.,MSD
BIKSI_BIAS,"Kim, So Hyun",2006,"Draft Survey Report on the Yetfa Language of Papua, Indonesia. To appear in the SIL Electronic Survey Reports.",MSD
BILAAN_KORONADAL,"Reid, Lawrence A. (ed.)",1971,Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication No. 8. Honolulu: University of Hawai'i Press.,AKW
BILAAN_SARANGANI,"Reid, Lawrence A. (ed.)",1971,Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication No. 8. Honolulu: University of Hawai'i Press.,AKW
BILAKURA,"Z'graggen, Johannes A.",1980,"A Comparative Word List of the Northern Adelbert Range Languages, Madang Province, Papua New Guinea. Pacific Linguistics D-31. Canberra: Australian National University.",CB
BILAKURA_2,"Z'graggen, J.A.",1980,"A comparative word list of the Northern Adelbert Range Languages, Madang Province, Papua New Guinea, Canberra: Pacific Linguistics.",SW/MSD
BILBIL,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
BILE,"Blench, Roger",2006,"Jarawan Bantu: New data and its relation to Bantu. pdf MS fr January 12, 2006.",VV
BILEKI_NAKANAI,,,http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007),AM
